"b'Saint James Royal Ambre'","r"
"b'Captain Morgan Parrot Bay'","e"
"b'Captain Morgan 1671'","e"
"b'A. H. Riise Royal Danish Navy'","n"
"b'A. H. Riise Non Plus Ultra Very Rare'","n"
"b'A. H. Riise XO Reserve'","n"
"b'Dictador XO Insolent'","l"
"b""Chairman's Reserve Spiced""","."
"b'Ron Botran Reserva'","a"
"b'Dos Maderas Luxus'","r"
"b'Pampero Especial'","n"
"b""Plantation Pineapple Stiggin's Fancy""","r"
"b'Brinley Gold Shipwreck Spiced'","."
"b'El Ron Prohibido 12-Year'","x"
"b'Cruzan Gold'",""
"b'Blackwell Black Gold Special Reserve'","m"
"b'Barcelo Imperial Premium Blend 30 Aniversario'","m"
"b'Opthimus 25-Year'","m"
"b'Wray & Nephew White Overproof'","m"
"b'Cockspur VSOR 12-Year'","r"
"b'Old Monk XXX'","d"
"b'Bacardi Razz'","e"
"b'Santiago de Cuba Anejo'","b"
"b'Ron Malteco 15-Year'","a"
"b'Brugal Siglo de Oro'","m"
"b'Brugal Siglo de Oro'","m"
"b'Ron Zacapa Reserva Limitada 2014'","a"
"b'Captain Morgan Cannon Blast'","e"
"b'Bacardi Select'","e"
"b'Kirk and Sweeney 23-Year'","m"
"b'Ron Zacapa Etiqueta Negra'","a"
"b'Gold of Mauritius Dark'","u"
"b'Bacardi Reserva Limitada'","e"
"b'Pyrat Cask 1623'","g"
"b'Presidente 23-Year'","m"
"b'Ron Esclavo XO'","m"
"b'Plantation Original Dark'","r"
"b'Angostura 7-Year'","i"
"b'Captain Morgan Tatoo'","e"
"b'Bundaberg Original UP'","s"
"b'Cacique 500 Gran Reserva'","n"
"b'UNHIQ XO'","m"
"b'Matusalem Clasico'","m"
"b'Brugal XV'","m"
"b'Diplomatico Blanco'","n"
"b'Rhum JM XO Rhum'","r"
"b'Kilo Kai Spiced'","r"
"b'Trois Rivires Blanc Rhum'","r"
"b'Cruzan Light'",""
"b'Ron Zacapa 30 Aniversario'","a"
"b'Cruzan 9 Spiced'",""
"b'Dos Maderas 5+3'","r"
"b'Brugal Extra Viejo Reserva'","m"
"b'Bacardi Ron Solera 1873'","e"
"b'Caroni 12-Year'","i"
"b'Ron de Jeremy XO 15-Year'","n"
"b'Plantation Jamaica 2001'","r"
"b'Ron de Jeremy Spiced'","n"
"b'Foursquare 9-Year Port Cask Finish'","r"
"b'Foursquare Spiced'","r"
"b'Flor de Cana Gold 4'","c"
"b'Punta Cana XOX'","m"
"b'Legendario Ron Anejo'","b"
"b'A. H. Riise Navy Strength 55%'","n"
"b'El Dorado 3-Year'","y"
"b'Clement Vieux Rhum'","r"
"b'Ron Esclavo XO Cask'","m"
"b'Ron Malteco 10-Year'","a"
"b'Flor de Cana 25-Year'","c"
"b'Ron Zacapa Straight from the Cask Special Edition'","a"
"b'Ron de Jeremy The Adult'","n"
