;label;sugar
163;Cadenhead's BBR Blackrock 11y;0
164;Cadenhead's Dark (50%);0
165;Calidao Original Jamaican Dark;0
166;Cane Trader Dark Rum;0
167;Captain Bligh XO Reserve;0
176;Captain Morgan;4
168;Captain Morgan (Jamaica);3
169;Captain Morgan Black Spiced;27
170;Captain Morgan Long Island Iced Tea;96
171;Captain Morgan Original Spiced Gold;15
172;Captain Morgan Private Stock;45
173;Captain Morgan Spiced Gold;21
175;Captain Morgan White;0
174;Captain Morgan White Rum;0
177;Caribbean Reserve, Enmore distillery Demerara 1998;0
178;Caroni 12 Year Old (Velier);0
179;Caroni Trinity;0
180;Carta Vieja Golden Cask Solera 18;7
182;Cartavio 5y;6
586;Cartavio Solero 12 Years;8
587;Cartavio XO;29
588;Centenario 30 yr;44
589;Centenario Commemorativo;0
186;Chairman's Reserve;0
183;Chairman's Reserve Spiced;41
184;Chairman's Reserve The Forgotten Casks;0
185;Chairman's Reserve White Label;0
188;Chamarel Single Barrel 2008 (45%);0
189;Chantal Comte Tour de l'Or;7
190;Charbay Double-Aged Rum;8
191;Clairin Casimir Batch 2;0
192;Clement 6 yr;0
193;Clement Rhum Blanc;0
194;Clement Single Cask Tres Vieux Bleu;6
195;Clement Single Cask Vanille Intense;4
196;Clement VSOP;0
197;Cockspur 12;0
199;Cockspur Fine Rum (5 star);0
200;Compagne des Indes Barbados 16 Years;0
201;Companie Des Indes Barbados Foursquare 16y;0
202;Companie Des Indes Jamaica Hampden 14y;0
203;Companie Des Indes Jamaica Worthy Park 7y;0
204;Conch Republic Dark Rum;4
205;Coruba 18y;0
206;Coyopa 12y;45
207;Cruzan Single Barrel Estate (New bottle);0
208;Cruzan Single Barrel Estate (Older bottle);0
209;Cruzan Single Barrel Estate (Older bottle);4
210;Cubaney Centenario;22
590;Cubaney Centenario;26
591;Cubay 10 Year Old Reserva Especial;0
593;Cubay Anejo;6
592;Cubay Anejo 7 Year Old;0
594;Cubay Carta Blanca 3 Year Old;0
211;Damoiseau 1953;0
212;Damoiseau Rhum Vieux 8 anos;0
213;Damoiseau VO;0
214;Danica Rum;0
215;Dark Matter Spiced;74
598;de Jeremy;6
595;de Jeremy Reserva;0
596;de Jeremy Reserva;5
597;de Jeremy XO;98
216;Demerara Rum 1971 Gordon & Macphail;19
217;Depaz 84;0
218;Depaz Grande Reserve XO;0
219;Diamond Reserve (DDL, white, 40%);0
221;Dictador 12;0
220;Dictador 12 yr;0
222;Dictador 20 yr;0
223;Dictador 20 yr;8
224;Dictador XO Insolent;4
225;Dictador XO Perpetual;3
226;Dillon 75;0
228;Dillon Tres Vieux;3
227;Dillon Trs Vieux Rhum;3
229;Diplomatico 2000;15
230;Diplomatico 8 yr;7
231;Diplomatico Ambassador;24
232;Diplomatico Ambassador;26
233;Diplomatico Blanco Reserve;8
234;Diplomatico Exclusiva;41
235;Diplomatico Exclusiva;44
239;Diplomatico Reserva;9
240;Diplomatico Reserva;12
242;Diplomatico Reserva;7
236;Diplomatico Reserva Exclusiva;30
237;Diplomatico Reserva Exclusiva;41
250;Diplomatico Single Vintage;21
245;Diplomatico Single Vintage 1997;19
246;Diplomatico Single Vintage 2000;24
247;Diplomatico Single Vintage 2001;20
248;Diplomatico Single Vintage 2001;24
249;Diplomatico Single Vintage 2001;25
241;Diplomtico Reserva;12
238;Diplomtico Reserva Exclusiva;41
251;Domaine De Courcelles Guadeloupe 1972-2003-2005;3
252;Domaine de Severin 1984;0
253;Don Papa;26
254;Don Q Anejo;0
255;Don Q Cristal;0
256;Don Q Gold;0
257;Don Q Gran Anejo;0
259;Doorly's 12;0
258;Doorly's 12 yr;0
260;Doorly's 5 Year;0
261;Doorly's 6 yr;0
263;Doorly's XO;0
264;Doorly's XO;3
262;Doorly's XO, new;0
265;Dos Maderas Luxus;39
266;Dos Maderas PX 5+5;36
267;Duncan Taylor St Lucia Rum 11 Year Old (Cask 5);3
268;Dzama Nosy-be Prestige;24
269;E.S.A. Field;5
270;East London Liquor Co. Ltd Demerara Rum;0
271;Edward Gunpowder Spiced;0
272;El Dorado 12 Year Old Finest Demerara Rum;39
273;El Dorado 12 yr;35
275;El Dorado 15 Year Old Finest Demerara Rum;31
276;El Dorado 15 Years;31
277;El Dorado 15 yr;35
278;El Dorado 15 yr;38
279;El Dorado 21 Year Old;22
280;El Dorado 21 yr;16
281;El Dorado 21 yr;33
282;El Dorado 25 1980;5
283;El Dorado 25 1986;39
284;El Dorado 3 Year Old;0
286;El Dorado 5 yr;12
285;El Dorado 5 yr,  full;9
287;El Dorado 8 yr;15
288;El Dorado 8 yr;8
289;El Dorado Original Dark Superior Demerara Rum;0
290;El Dorado Single Barrel EHP;0
291;El Dorado Single Barrel ICBU;4
292;El Dorado Single Barrel PM;0
293;El Dorado Spiced;22
294;El Dorado Superior White Demerara Rum;0
295;Elements 8 Barrel Infused Criollo Cacao Rum;53
296;Elements 8 Barrel Infused Exotic Spices Rum;41
297;Elements 8 Gold Rum;0
