name,country,category,price,n_ratings,brand_base_urls
Appleton Estate V/X,Jamaica,Gold,20.23,228,https://www.rumratings.com/brands/47-appleton-estate-v-x
Ron Abuelo 12 Anos Gran Reserva,Panama,Aged,44.07,227,https://www.rumratings.com/brands/735-ron-abuelo-12-anos-gran-reserva
Pusser's British Navy,British Virgin Isles,Aged,26.45,222,https://www.rumratings.com/brands/668-pusser-s-british-navy
Ron Quorhum 30-Year,Dominican Republic,Aged,89.59,221,https://www.rumratings.com/brands/833-ron-quorhum-30-year
Havana Club Anejo Especial,Cuba,Gold,15.59,220,https://www.rumratings.com/brands/437-havana-club-anejo-especial
Ron Millonario XO,Peru,Aged,92.6,219,https://www.rumratings.com/brands/806-ron-millonario-xo
Kirk and Sweeney 12-Year,Dominican Republic,Aged,45.46,216,https://www.rumratings.com/brands/1178-kirk-and-sweeney-12-year
Myers's Original Dark,Jamaica,Dark,21.59,215,https://www.rumratings.com/brands/572-myers-s-original-dark
Mount Gay Black Barrel,Barbados,Dark,30.34,213,https://www.rumratings.com/brands/1217-mount-gay-black-barrel
Pampero Aniversario,Venezuela,Aged,25,209,https://www.rumratings.com/brands/632-pampero-aniversario
Dictador 12-Year,Colombia,Aged,6.54,207,https://www.rumratings.com/brands/304-dictador-12-year
Bacardi Gold,Puerto Rico,Gold,23.31,205,https://www.rumratings.com/brands/78-bacardi-gold
Legendario Elixir de Cuba,Cuba,Gold,16.67,196,https://www.rumratings.com/brands/1087-legendario-elixir-de-cuba
Captain Morgan Black Spiced,Puerto Rico,Spiced,21.57,194,https://www.rumratings.com/brands/166-captain-morgan-black-spiced
Captain Morgan Original Spiced Gold,Puerto Rico,Spiced,15.15,193,https://www.rumratings.com/brands/3618-captain-morgan-original-spiced-gold
Ron Centenario 20-Year,Costa Rica,Aged,41.99,192,https://www.rumratings.com/brands/781-ron-centenario-20-year
Dictador 20-Year,Colombia,Aged,10.9,186,https://www.rumratings.com/brands/305-dictador-20-year
Flor de Cana Gran Reserve 7,Nicaragua,Aged,15.22,183,https://www.rumratings.com/brands/409-flor-de-cana-gran-reserve-7
Angostura 1824,Trinidad,Aged,74.33,180,https://www.rumratings.com/brands/23-angostura-1824
Brugal Añejo,Dominican Republic,Gold,15.68,178,https://www.rumratings.com/brands/145-brugal-anejo
Brugal 1888,Dominican Republic,Gold,26.01,175,https://www.rumratings.com/brands/143-brugal-1888
Plantation Pineapple Stiggin's Fancy,Caribbean,Flavored,NA,171,https://www.rumratings.com/brands/2148-plantation-pineapple-stiggin-s-fancy
Zafra Master Reserve 21,Panama,Aged,57.02,158,https://www.rumratings.com/brands/1029-zafra-master-reserve-21
Appleton Estate 21-Year,Jamaica,Aged,114.58,158,https://www.rumratings.com/brands/38-appleton-estate-21-year
Havana Club Anejo Reserva,Cuba,Gold,26.93,154,https://www.rumratings.com/brands/438-havana-club-anejo-reserva
RL Seale 10-Year,Barbados,Aged,42.9,154,https://www.rumratings.com/brands/729-rl-seale-10-year
Diplomatico Ambassador Selection,Venezuela,Aged,211.35,149,https://www.rumratings.com/brands/313-diplomatico-ambassador-selection
Bacardi Black,Puerto Rico,Dark,30.39,146,https://www.rumratings.com/brands/76-bacardi-black
Ron Cartavio XO,Peru,Aged,88.08,141,https://www.rumratings.com/brands/778-ron-cartavio-xo
El Dorado 8-Year,Guyana,Aged,23.74,137,https://www.rumratings.com/brands/372-el-dorado-8-year
Plantation 3 Stars Artisanal,Caribbean,Light,18.41,136,https://www.rumratings.com/brands/639-plantation-3-stars-artisanal
Doorly's XO,Barbados,Aged,38.43,135,https://www.rumratings.com/brands/339-doorly-s-xo
Bacardi Carta Blanca,Puerto Rico,Light,17.99,134,https://www.rumratings.com/brands/2086-bacardi-carta-blanca
Plantation Barbados XO 20th Anniversary,Caribbean,Aged,44.46,133,https://www.rumratings.com/brands/1586-plantation-barbados-xo-20th-anniversary
Bumbu Original,Barbados,Aged,NA,131,https://www.rumratings.com/brands/3660-bumbu-original
Gosling's Family Reserve Old,Bermuda,Aged,61.45,129,https://www.rumratings.com/brands/421-gosling-s-family-reserve-old
Barcelo Gran Anejo,Dominican Republic,Aged,17.51,128,https://www.rumratings.com/brands/97-barcelo-gran-anejo
Ron Abuelo 7 Anos Reserva Superior,Panama,Aged,22.47,126,https://www.rumratings.com/brands/736-ron-abuelo-7-anos-reserva-superior
Barbancourt 5 Star Reserve Especiale 8-Year,Haiti,Aged,37.76,125,https://www.rumratings.com/brands/91-barbancourt-5-star-reserve-especiale-8-year
Matusalem Gran Reserva 23,Dominican Republic,Aged,53.03,125,https://www.rumratings.com/brands/1073-matusalem-gran-reserva-23
Admiral Rodney Extra Old 12-Year,St. Lucia,Aged,55.95,123,https://www.rumratings.com/brands/12-admiral-rodney-extra-old-12-year
Pusser's British Navy 15-Year,British Virgin Isles,Aged,58.68,121,https://www.rumratings.com/brands/667-pusser-s-british-navy-15-year
Vizcaya VXOP 21,Dominican Republic,Aged,38.99,121,https://www.rumratings.com/brands/1003-vizcaya-vxop-21
Diplomatico 2000 Single Vintage,Venezuela,Aged,108.03,120,https://www.rumratings.com/brands/1258-diplomatico-2000-single-vintage
Bacardi 151,Puerto Rico,Overproof,51.94,117,https://www.rumratings.com/brands/72-bacardi-151
Smith and Cross Navy Strength,Jamaica,Gold,45.97,115,https://www.rumratings.com/brands/902-smith-and-cross-navy-strength
Kaniche XO,Barbados,Aged,63.71,114,https://www.rumratings.com/brands/1344-kaniche-xo
Arcane Extraroma,Mauritius,Aged,41,111,https://www.rumratings.com/brands/1075-arcane-extraroma
Ron Abuelo Centuria,Panama,Aged,140.79,110,https://www.rumratings.com/brands/738-ron-abuelo-centuria
