review_id,header,review,date,reviewer,location,rev_n_ratings,rating,brand_base_urls,name,country,category,price,n_ratings
23648,Could be good on Pancakes!,"I'll give a mention to this fellow that nailed the rum review: https://rumtastic.wordpress.com/2016/01/15/diplomatico-reserva-exclusiva-review/It's just too sweet for me. Rums by their nature will tend to have a sweeter note, but this is playing to a crowd that wants liquid candy in their mouth. I'm currently experimenting with drier and spicier rums to mix it with in order to try and bring some semblance of balance.",2016-09-08,James,United States,12,4,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2758,THE Diplomatico,"So it was (one of) the fist of my aged rums, and it's why I love them that much.As I don't taste it from long time I'm normally objective on this ratting (and I'm more interested on some Bourbon now ;p ).A nice smell of mixed vanillia and caramel and a bit spicy, who remember me the Rooibos (false tea). On the mouth the same flavor is present but more stonguer, giving a round and sweat rum, with a bit of astringent and a long sweet caramel/vanillia finish.Realy a nice and good rum for everyone. A great first choice for start aged rum.",2014-03-16,OmegaP,France,12,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
2392,A worthy top rated sipping rum,I love the long thin slow legs that appear above the golden brown swirl in the glass. As I bring the glass to my nose there is the reward of soft vanilla and a tinge of cocoa and molasses to tempt my taste buds. I find the sweetness a delightful accompaniment to the report of spices from my olfactory senses. The burn is gentle as the golden brown goodness rolls around the sides of my tongue and down the throat. A delightful sipping experience. ,2013-12-19,Rumm,United States,3,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
15130,The finest rum mankind has ever produced,"I like rum, and I like it straight. Diplomatico Reserva Exclusiva has that wonderful taste a sipping rum should have. It's smooth, tasty and has a nice little bite in exactly the right proportions. Without any overpowering flavors like so many other high end rums. Bottom line, it's absolutely wonderful. I've never found anything better, regardless of price. ",2016-01-03,Franklin Fraitus,United States,19,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
27440,"Great Sweet Rum, Perfect for Sipping","A lot of people will complain about the sweetness of this rum, or say it's not a ""good rum"" because it was sweetened after distilling. I'm not one of those people. I don't think that pouring a snifter of spirits should represent an endurance event. I want to enjoy it - and I definitely enjoyed this one. On the nose, I got butter, brown sugar and a hint of pinapple. I tasted caramel, vanilla, walnut and nutmeg with a hint of orange. Very little astringent burn on the tongue, and warm going down. A very nice rum.",2016-12-16,VyperGrrl,United States,1,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
18238,Elegant and worth it's price,"Very nice avec, but I wouldn't place it near the top choices. It's fairly sweet and rich in both nose and palate. Vanilla tones, fuits, bitter orange and all around a classic rum.",2016-03-20,Staffan,Sweden,26,7,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
12953,Useless...,"Is good but is far too simple...Just some fruits, some little spice, too sweet (probably a lot of added sugar).It's made to please everyone's taste...Don't chose it if you want to find a true rum.",2015-11-08,Denis Mazzucato,Italy,16,6,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
3281,The starter,"Excellent rum in a lot of ways with a deep toffee aroma. A very sweet and round caramel palate, with a hint of vanilla. Enjoyable as a dessert after dinner. In the long run I find it way to sweet for a regular sipping though.",2014-05-10,martin jeppesen,Denmark,183,6,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
23492,Definitely among the Best at ANY price point...,"I purchased this based on many reviews I had read online a few years ago. Boy it did NOT disappoint! In fact, at the time, it was the smoothest, tastiest rum I had ever had! Beautiful bottle that is frosted green with what appears to be a currency for the label. It looks great sitting on my or any bar. The nose is pleasant with vanilla and honey. The color in the glass is a fantastic rich cognac color. In the mouth, mild spiciness, wood, nuts and vanilla. Clean finish. Definitely a sipping rum and should be in your stash without question.",2016-09-02,BigMarcus,United States,8,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
22935,Diplomatico Reserva Exclusiva,"My first foray into more premium rums and I was blown away. Beautifully sweet but not overpowering, smooth and perfect for sipping.  On a recent holiday to Keffalonia  I spied a bottle behind the bar and asked for a glass (a Greek single is like a UK triple 👌) the owner was stunned I knew it and went on to tell me all the awards it's won and that UK guests don't know what it is...  I drank the whole bottle that week and started the next one reminding me how easy it is to drink. What's more,  at the price point it is exceptional value and easily matches or outstrips more expensive rums I've had.",2016-08-17,Ellis,United Kingdom,19,10,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
20379,9.5 Rum,"Excelente sabor.Notas de vainilla, café, avellanas. Color obscuro que deja ver el añejamiento real de este ronMuy recomendable!!!",2016-05-20,Carlos,Mexico,50,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
3391,Diplomatico Reserva Exclusiva,"One of the great sipping rums out there. Caramel and smoothness, and a little bit of spice. It´s easy to sip!",2014-05-20,Helena Tiare,Sweden,104,8,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
409,Considerably better than the orange-label Reserva,"If you prefer sweeter rums, this will be your gold standard. On par with my personal gold-standard choice, El Dorado 15, but slightly sweeter than I generally prefer. Smoooth as silk, though, no doubt abouti t.",2013-01-03,Michael,United States,18,9,https://www.rumratings.com/brands/316-diplomatico-reserva-exclusiva,Diplomatico Reserva Exclusiva,Venezuela,Aged,36.78,1440
